geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
381457	Crnn	16.0819	24.1087	8.7696	5.2308	11.9908	6.1445	14.8003	8.9502
71963	Cdca4	813.843	743.9395	858.9393	788.7152	1149.6711	1464.2715	1353.5393	1286.229
21408	Zfp354a	719.7191	793.1006	772.2643	775.7306	425.2188	547.289	507.0402	509.8048
56312	Nupr1	20317.715	15903.893	20606.617	15972.185	26295.068	22766.617	32014.172	26029.69
59056	Evc	1307.8416	1220.7164	1209.549	928.6829	1193.3412	949.5925	1258.5571	1030.6375
18128	Notch1	118.3154	113.506	94.5239	82.1107	40.4893	83.178	59.273	76.4804
628100	Fbxo39	632.4066	591.7583	578.7505	659.0231	684.8315	644.4478	746.625	713.8834
620382	Gm6146	10.028	14.8412	10.7281	9.2819	18.7047	5.0729	7.6467	11.3225
18028	Nfib	876.1963	1204.0923	984.2855	925.9661	746.622	737.6865	849.8986	615.5555
382062	AB124611	6885.8643	5976.5664	5923.641	5287.1367	8516.352	7260.0303	9431.559	8702.611
50934	Slc7a8	122.7369	101.1367	112.8586	97.451	409.6916	266.6953	472.3754	287.0707
66727	Hrasls5	4.8681	4.3479	8.7822	5.5655	4.5355	5.1322	4.8183	5.8329
382018	Unc13a	49.1563	20.4903	24.7612	25.2888	12.4957	5.1637	10.4	16.228
140494	Atp6v0a4	527.7849	433.7532	297.8681	344.4294	525.2333	631.2363	962.2811	646.5236
50765	Trfr2	102.9606	103.4942	78.18	75.6846	113.5292	174.9225	178.9388	147.2302
70357	Kcnip1	6.0736	7.0382	6.7218	5.7813	7.076	6.2072	9.0734	8.2443
668661	2410002F23Rik	13380.335	13746.78	12642.1875	12076.323	15060.329	13708.912	16810.822	15675.149
259001	Olfr181	11.5963	10.3815	8.3156	9.4223	9.1618	8.5391	16.0833	14.3545
494468	Armcx5	1103.8656	1121.707	946.3434	923.5416	630.0636	763.946	873.5302	606.7775
432825	Gm5458	40.1549	22.1114	50.4718	30.5934	73.0709	65.6031	84.7709	93.2956
14159	Fes	2843.9878	2497.867	3317.509	2979.3896	4680.5737	4448.7534	5178.7134	5150.4355
230899	Nppa	128.5385	120.6413	118.5379	106.176	110.5268	124.9465	116.5871	124.6124
74302	Mtmr3	2607.1726	2722.253	2406.043	2229.4688	2450.1262	2300.154	2639.7039	2670.2341
18045	Nfyb	1217.2933	1331.7482	1241.3307	1268.2557	937.5763	1335.163	1080.0521	1347.296
19826	Rnps1	2433.1292	2375.653	2341.8142	2206.2578	1983.0175	2699.8982	2462.943	2815.9685
381626	Rbm33	2529.9473	2919.5588	2683.5532	2489.3037	1626.4998	1805.0659	1613.3639	1930.1936
69698	2310046K01Rik	1905.1854	1643.3147	1421.9253	1578.4933	478.6952	1080.7642	686.2436	1009.6877
20482	Skil	3472.5938	4175.035	4298.9224	4044.511	4352.1367	4195.048	4098.4536	4121.8413
12972	Cryz	5700.9395	5030.975	5371.5503	5453.0713	4927.0977	6837.8066	5869.6284	5671.182
69694	Tatdn1	17.6374	17.3008	19.9829	13.3916	8.2062	21.3092	5.4774	23.1863
18673	Phb	4473.4126	4447.0806	4655.0527	3873.3289	3528.909	4395.845	4550.8047	4372.588
19082	Prkag1	6981.2144	7826.5938	6681.2046	6690.769	5554.167	7051.8486	6972.8804	6462.0444
258962	Olfr53	61.2287	52.3603	53.9767	50.3294	62.0218	65.0084	69.9882	71.3067
208154	Btla	798.301	592.2103	785.9552	759.9076	1798.9385	1487.0875	1294.6552	2350.1062
19982	Rpl36a	19344.496	18920.75	19147.732	19024.016	27446.676	25340.846	31432.514	25392.795
50915	Grb14	4966.9775	5358.641	4784.7344	4665.3384	2467.604	5631.5015	2797.4946	4357.678
70829	Ccdc93	377.9386	355.9125	395.2274	347.4573	612.0657	621.5707	705.738	669.6468
66401	Nudt2	839.4023	656.8594	646.7814	718.1935	785.7443	998.1249	909.7598	950.0609
